date,price
2019-12-19,₹ 65.33 /L
2019-12-18,₹ 65.33 /L
2019-12-17,₹ 65.33 /L
2019-12-16,₹ 65.33 /L
2019-12-15,₹ 65.33 /L
2019-12-14,₹ 65.33 /L
2019-12-13,₹ 65.33 /L
2019-12-12,₹ 65.33 /L
2019-12-11,₹ 65.33 /L
2019-12-10,₹ 65.33 /L
2019-12-09,₹ 65.37 /L
2019-12-08,₹ 65.27 /L
2019-12-07,₹ 65.17 /L
2019-12-06,₹ 65.08 /L
2019-12-05,₹ 65.08 /L
2019-12-04,₹ 65.08 /L
2019-12-03,₹ 65.08 /L
2019-12-02,₹ 65.08 /L
2019-12-01,₹ 65.08 /L
2019-11-30,₹ 65.08 /L
2019-11-29,₹ 65.08 /L
2019-11-28,₹ 65.04 /L
2019-11-27,₹ 65.04 /L
2019-11-26,₹ 65.04 /L
2019-11-25,₹ 65.04 /L
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
